City,State,Speed,Company,Cord,Code,Longitude,Latitude
Caruaru,PE,236.005,CLARO,"[-35.9865, -8.2935]",2604106,-35.9865,-8.2935
Carutapera,MA,40.45,CLARO,"[-46.0215, -1.1925]",2102903,-46.0215,-1.1925
Carvalhos,MG,19.165,VIVO,"[-44.4645, -22.0005]",3114808,-44.4645,-22.0005
Carvalhópolis,MG,42.21,VIVO,"[-45.8415, -21.7755]",3114709,-45.8415,-21.7755
Casa Branca,SP,82.97,CLARO,"[-47.1015, -21.7215]",3510807,-47.1015,-21.7215
Casa Grande,MG,31.04,CLARO,"[-43.9335, -20.7945]",3114907,-43.9335,-20.7945
Casa Nova,BA,48.0,CLARO,"[-40.9815, -9.1755]",2907202,-40.9815,-9.1755
Casca,RS,62.77,VIVO,"[-51.9615, -28.5615]",4304903,-51.9615,-28.5615
Cascalho Rico,MG,33.75,VIVO,"[-47.8755, -18.5805]",3115003,-47.8755,-18.5805
Cascavel,CE,46.94,CLARO,"[-38.2545, -4.1355]",2303501,-38.2545,-4.1355
Cascavel,PR,226.35500000000002,CLARO,"[-53.4645, -24.9525]",4104808,-53.4645,-24.9525
Caseara,TO,20.07,TIM,"[-49.9545, -9.2745]",1703909,-49.9545,-9.2745
Caseiros,RS,7.51,VIVO,"[-51.6825, -28.2735]",4304952,-51.6825,-28.2735
Casimiro de Abreu,RJ,92.18,CLARO,"[-42.0075, -22.4865]",3301306,-42.0075,-22.4865
Casinhas,PE,12.67,VIVO,"[-35.7255, -7.7445]",2604155,-35.7255,-7.7445
Casserengue,PB,17.86,VIVO,"[-35.8155, -6.7815]",2504157,-35.8155,-6.7815
Cassilândia,MS,64.24,VIVO,"[-51.7455, -19.1025]",5002902,-51.7455,-19.1025
Castanhal,PA,211.555,CLARO,"[-47.9295, -1.2915]",1502400,-47.9295,-1.2915
Castanheira,MT,17.47,VIVO,"[-58.6125, -11.1375]",5102850,-58.6125,-11.1375
Castanheiras,RO,26.31,CLARO,"[-61.9515, -11.4255]",1100908,-61.9515,-11.4255
Castelo,ES,75.84,CLARO,"[-41.2065, -20.6505]",3201407,-41.2065,-20.6505
Castelo do Piauí,PI,74.72,VIVO,"[-41.5575, -5.3235]",2202604,-41.5575,-5.3235
Castelândia,GO,35.34,CLARO,"[-50.2245, -18.0855]",5205059,-50.2245,-18.0855
Castilho,SP,65.18,VIVO,"[-51.4935, -20.8575]",3511003,-51.4935,-20.8575
Castro,PR,88.12,TIM,"[-50.0265, -24.7995]",4104907,-50.0265,-24.7995
Castro Alves,BA,48.22,VIVO,"[-39.4335, -12.7575]",2907301,-39.4335,-12.7575
Cataguases,MG,64.23,CLARO,"[-42.7095, -21.3975]",3115300,-42.7095,-21.3975
Catalão,GO,46.33,VIVO,"[-47.9385, -18.2025]",5205109,-47.9385,-18.2025
Catanduva,SP,66.19,CLARO,"[-48.9375, -21.1725]",3511102,-48.9375,-21.1725
Catanduvas,PR,64.58,CLARO,"[-53.1495, -25.2135]",4105003,-53.1495,-25.2135
Catanduvas,SC,86.43,CLARO,"[-51.6555, -27.0675]",4204004,-51.6555,-27.0675
Catarina,CE,49.9,CLARO,"[-39.8835, -6.1335]",2303600,-39.8835,-6.1335
Catas Altas,MG,51.22,CLARO,"[-43.4025, -20.0745]",3115359,-43.4025,-20.0745
Catas Altas da Noruega,MG,45.98,CLARO,"[-43.5015, -20.6865]",3115409,-43.5015,-20.6865
